mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.7002064228057865,0.14879988379293752,0.08506999015808106,0.003903679252673351,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",-0.4564637867983091,-0.5232821930212086,-0.48889004196960983,-0.46372688481205626,-0.5114371091542539,-0.4887600031510876,0.025983657343350536,11
1.5443543434143066,0.02118709073827069,0.028482532501220702,0.004868676235921219,15,2,50,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 50}",-0.45785646637710803,-0.5192765873352237,-0.49582405703432775,-0.47495871531808237,-0.5104605653083703,-0.49167527827462243,0.022605694641994693,24
3.041669464111328,0.09466648272392472,0.05105752944946289,0.00651954483457443,15,2,100,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 100}",-0.4522597393620742,-0.5144610777040192,-0.49235262352476006,-0.4756087861299971,-0.5089116486470399,-0.4887187750735781,0.022736561910503154,10
6.23918924331665,0.2279338759068417,0.09639410972595215,0.001762409542955341,15,2,200,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 200}",-0.4510330219961706,-0.5111944840429588,-0.4868599743317435,-0.46387701391909236,-0.5041655542740873,-0.4834260097128105,0.022997729792266726,2
1.559480619430542,0.11142173711412283,0.027301788330078125,0.005233743510902167,15,5,50,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 50}",-0.46131380280993195,-0.5188161498924329,-0.4948068599137665,-0.473224959417868,-0.5097888797895694,-0.4915901303647138,0.021618202899665283,23
3.090013313293457,0.1354281698950073,0.04670186042785644,0.0008675876098319554,15,5,100,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 100}",-0.4563211733571396,-0.5159180960736993,-0.4921630722292378,-0.47467578957588547,-0.5095133745438387,-0.48971830115596016,0.022026785465025334,16
6.014012289047241,0.1768233134709463,0.09390239715576172,0.010443702750124666,15,5,200,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 200}",-0.45077498491108475,-0.5145410590007821,-0.4867875578519522,-0.4629938107512287,-0.5048919925360367,-0.4839978810102169,0.02417504377558103,4
1.4045994281768799,0.03809408261506616,0.023536300659179686,0.0019647578419593036,15,10,50,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 50}",-0.45997930322972685,-0.5160348142067579,-0.49236986098613383,-0.46847170954249945,-0.5085887450659682,-0.48908888660621724,0.02186105268057833,13
2.8518460750579835,0.13874138282255621,0.04622735977172852,0.002884734894057833,15,10,100,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 100}",-0.4558523608486835,-0.5160561204874808,-0.49172021791797943,-0.47214679731849185,-0.5100859495109547,-0.48917228921671807,0.02265700117929026,14
5.630469179153442,0.16833763882813702,0.08898210525512695,0.0024165311322659807,15,10,200,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 200}",-0.4529091172835478,-0.5146572163807175,-0.48696732193085107,-0.46370246892290495,-0.5065511658264616,-0.48495745806889656,0.02379610943802941,6
1.6097291469573975,0.07467639118882716,0.02525925636291504,0.0016718274510784655,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",-0.4595292479108635,-0.5165192200557102,-0.49039888579387186,-0.4732836820083681,-0.512384379358438,-0.49042308302545035,0.02196130963920433,18
3.245262289047241,0.11631240616186636,0.04590859413146973,0.00209821355806709,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",-0.45421880222841227,-0.512699860724234,-0.48900292479108637,-0.4760269177126918,-0.5099638772663877,-0.4883824765445624,0.021805015309841688,9
6.360841083526611,0.2763549267004594,0.11287465095520019,0.02548144016378037,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",-0.4504310236768802,-0.5086966573816155,-0.4850352019498607,-0.46574215481171544,-0.5028207112970711,-0.4825451498234285,0.021976614114780246,1
1.4776694774627686,0.03914541097160021,0.023448848724365236,0.0010953831190861952,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",-0.4607833363575426,-0.5182532092346097,-0.4928892660435011,-0.47490611671063554,-0.5089028270523837,-0.4911469510797346,0.02116019765574045,20
3.037351608276367,0.1331381527709268,0.04563250541687012,0.0027426011182043316,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",-0.4561414251253527,-0.5173746861184543,-0.48967670337924163,-0.47327728681554065,-0.5087779381343984,-0.48904960791459756,0.022466085215631093,12
5.999690532684326,0.2122581610851068,0.08930902481079102,0.004597431897358345,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",-0.45243469236616457,-0.5125034340061098,-0.4858462851004638,-0.46312017003999334,-0.5055451568703305,-0.4838899476766124,0.023290872422423534,3
1.405999755859375,0.07454730157703801,0.022824430465698244,0.0009179034245120811,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",-0.46001316044404117,-0.5179524431044042,-0.4917942121717437,-0.4703460781696719,-0.5111807215287528,-0.4902573230837227,0.02244253707280505,17
2.8131401538848877,0.07778222300129063,0.044816780090332034,0.006325546623752353,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",-0.4559406937038862,-0.5170774152093058,-0.4899377932940978,-0.4725871183249225,-0.5103958200935526,-0.48918776812515297,0.02284349339260582,15
5.1571752548217775,0.06760594112735477,0.05709834098815918,0.016079452865229174,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",-0.4535503722883653,-0.5147310613831507,-0.4864778192760424,-0.46433275710865446,-0.5055745772629783,-0.48493331746383816,0.023347911981411656,5
